board_type,sequence,sleeptime,run,start_time,device_tracking,making_code,Rhtr_RT,generalpurpose,VDDH,TCR_from_NVM,R_HTR_at_RT_from_NVM,RT_from_NVM,Humidity_HW,Temperature_HW,Temperature_ASIC,Temp1,Wait1,Temp2,Wait2,Rmox_Temp1,Rmox_Temp2,comment,EtOH (ppm),IAQ,TVOC (mg/m^3),eCO2 (ppm)
IDT HiCom,hard coded,0.0,2897.0,2020-04-08T19:57:59.059000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.274,300.0,1.0,300.0,1.0,165447.1817046804,166697.52520623282,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,2898.0,2020-04-08T19:58:01.077000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.274,300.0,1.0,300.0,1.0,167990.9865718315,170346.4338598223,,0.0,0.0,0.0,100.0
IDT HiCom,hard coded,0.0,2899.0,2020-04-08T19:58:03.093000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.224500000000035,300.0,1.0,300.0,1.0,169141.7325256004,172221.2233003689,,0.0,0.0,0.0,175.0
IDT HiCom,hard coded,0.0,2900.0,2020-04-08T19:58:05.119000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.25750000000005,300.0,1.0,300.0,1.0,170170.5158644507,170792.8222867379,,0.015434778420565643,0.4112387649433713,0.02901738343066341,239.95521501536422
IDT HiCom,hard coded,0.0,2901.0,2020-04-08T19:58:07.109000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.240999999999985,300.0,1.0,300.0,1.0,171134.1927107484,171653.30444203684,,0.018593286286081062,0.6461126575022833,0.0349553782178324,283.9241134657881
IDT HiCom,hard coded,0.0,2902.0,2020-04-08T19:58:09.125000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.240999999999985,300.0,1.0,300.0,1.0,171972.55096350456,170369.90189424323,,0.03322694546401814,0.9193517785229897,0.062466657472354095,323.8181222298854
IDT HiCom,hard coded,0.0,2903.0,2020-04-08T19:58:11.137000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.175000000000068,300.0,1.0,300.0,1.0,170193.96219433224,169258.35922359963,,0.05383787070329066,1.1706408447255092,0.10121519692218643,359.17315280785556
IDT HiCom,hard coded,0.0,2904.0,2020-04-08T19:58:13.146000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.240999999999985,300.0,1.0,300.0,1.0,168966.9269072355,168920.33929559286,,0.07213114647149046,1.3704897343287952,0.1356065553664021,387.28841190530824
IDT HiCom,hard coded,0.0,2905.0,2020-04-08T19:58:15.154000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.240999999999985,300.0,1.0,300.0,1.0,169877.6805521321,171145.97502163966,,0.06620127727605629,1.4148499236941519,0.12445840127898586,397.2923543763229
IDT HiCom,hard coded,0.0,2906.0,2020-04-08T19:58:17.178000,x0000463C53845B75,x2310,22.239327170632105,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0795657958984375,0.00280078125,21.7559814453125,21.5,,,31.25750000000005,300.0,1.0,300.0,1.0,171358.18125579957,171937.05275549085,,0.053540720163994526,1.3525107137926606,0.10065655390830973,397.9692657822422
